titel,kategori,kalla,arabisk_text,beskrivning
Istighfar Abu Bakr, Istighfar, Bukhari, "اللَّهُمَّ إِنِّي ظَلَمْتُ نَفْسِي ظُلْمًا كَثِيرًا، وَلاَ يَغْفِرُ الذُّنُوبَ إِلاَّ أَنْتَ، فَاغْفِرْ لِي مَغْفِرَةً مِنْ عِنْدِكَ، وَارْحَمْنِي، إِنَّكَ أَنْتَ الْغَفُورُ الرَّحِيمُ", "Abu Bakr (RA) frågade profeten (SAW) om en dua att säga i sin bön och fick denna."
Mästaren av förlåtelseböner, Istighfar, Bukhari, "اللَّهُمَّ أَنْتَ رَبِّي، لاَ إِلَهَ إِلاَّ أَنْتَ، خَلَقْتَنِي وَأَنَا عَبْدُكَ، وَأَنَا عَلَى عَهْدِكَ وَوَعْدِكَ مَا اسْتَطَعْتُ، أَعُوذُ بِكَ مِنْ شَرِّ مَا صَنَعْتُ، أَبُوءُ لَكَ بِنِعْمَتِكَ عَلَىَّ وَأَبُوءُ لَكَ بِذَنْبِي، فَاغْفِرْ لِي، فَإِنَّهُ لاَ يَغْفِرُ الذُّنُوبَ إِلاَّ أَنْتَ", "Den som säger denna på morgonen och dör under dagen, kommer till paradiset. Den den som säger denna på kvällen och dör under natten, kommer till paradiset."
Räddning från helvetet, Morgon, Abu Dawud, "اللَّهُمَّ إِنِّي أَصْبَحْتُ أُشْهِدُكَ وَأُشْهِدُ حَمَلَةَ عَرْشِكَ وَمَلاَئِكَتَكَ وَجَمِيعَ خَلْقِكَ أَنَّكَ أَنْتَ اللَّهُ لاَ إِلَهَ إِلاَّ أَنْتَ وَأَنَّ مُحَمَّدًا عَبْدُكَ وَرَسُولُكَ", "Den som säger denna 4 gånger på morgonen är räddad från helvetet."
Sulaimans tacksamhetsbön, Tacksamhet, Koranen (27:19), "رَبِّ أَوْزِعْنِي أَنْ أَشْكُرَ نِعْمَتَكَ الَّتِي أَنْعَمْتَ عَلَيَّ وَعَلَىٰ وَالِدَيَّ وَأَنْ أَعْمَلَ صَالِحًا تَرْضَاهُ وَأَدْخِلْنِي بِرَحْمَتِكَ فِي عِبَادِكَ الصَّالِحِينَ", "Sulaimans dua när han hörde myrorna prata."
Hjälp med dyrkan,Bön,Abu Dawud,"اللَّهُمَّ أَعِنِّي عَلَى ذِكْرِكَ وَشُكْرِكَ وَحُسْنِ عِبَادَتِكَ","Rådet profeten (SAW) gav till Muadh ibn Jabal; rekommenderas att sägas efter varje obligatorisk bön."
Bön om Allahs kärlek,Dua,Tirmidhi,"اللَّهُمَّ إِنِّي أَسْأَلُكَ حُبَّكَ وَحُبَّ مَنْ يُحِبُّكَ وَالْعَمَلَ الَّذِي يُبَلِّغُنِي حُبَّكَ","Dua av Profeten Dawud (AS); bön om att få älska Allah och utföra handlingar som leder till Hans kärlek."
Det bästa minnet (Tawhid),Dhikr,Bukhari,"لاَ إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ لاَ شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَىْءٍ قَدِيرٌ","Sägs ofta 100 gånger på morgonen för skydd och stor belöning; eller 10 gånger efter bön."
Guds gåva (Efter bön),Bön,Bukhari,"لاَ إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ لاَ شَرِيكَ لَهُ، لَهُ الْمُلْكُ، وَلَهُ الْحَمْدُ، وَهْوَ عَلَى كُلِّ شَىْءٍ قَدِيرٌ، اللَّهُمَّ لاَ مَانِعَ لِمَا أَعْطَيْتَ، وَلاَ مُعْطِيَ لِمَا مَنَعْتَ، وَلاَ يَنْفَعُ ذَا الْجَدِّ مِنْكَ الْجَدُّ","Rekommenderas att sägas efter salam vid varje obligatorisk bön."
Skydd mot otro och fattigdom,Skydd,Abu Dawud,"اللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْكُفْرِ وَالْفَقْرِ وَعَذَابِ الْقَبْرِ","Sägs ofta i samband med morgon- och kvällsminnen."
Talbiyah,Hajj/Umrah,Bukhari,"لَبَّيْكَ اللَّهُمَّ لَبَّيْكَ لَبَّيْكَ لاَ شَرِيكَ لَكَ لَبَّيْكَ إِنَّ الْحَمْدَ وَالنِّعْمَةَ لَكَ وَالْمُلْكَ لاَ شَرِيكَ لَكَ","Det officiella mottot för pilgrimer under Hajj och Umrah."
Vid Maqam Ibrahim,Hajj/Umrah,Koranen (2:125),"وَاتَّخِذُوا مِنْ مَقَامِ إِبْرَاهِيمَ مُصَلًّى","Reciteras när man närmar sig Maqam Ibrahim efter Tawaf för att be två rak'at."
Safa och Marwa (Start),Hajj/Umrah,Koranen (2:158),"إِنَّ الصَّفَا وَالْمَرْوَةَ مِنْ شَعَائِرِ اللَّهِ","Reciteras när man närmar sig berget Safa för att påbörja Sa'i."
Dua på Safa och Marwa,Hajj/Umrah,Muslim,"لاَ إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ لاَ شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كَلِّ شَىْءٍ قَدِيرٌ لاَ إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ أَنْجَزَ وَعْدَهُ وَنَصَرَ عَبْدَهُ وَهَزَمَ الأَحْزَابَ وَحْدَهُ","Sägs 3 gånger stående på Safa och Marwa; man gör egen dua mellan dessa upprepningar."
Dua efter Adhan,Adhan,Bukhari,"اللَّهُمَّ رَبَّ هَذِهِ الدَّعْوَةِ التَّامَّةِ وَالصَّلاَةِ الْقَائِمَةِ آتِ مُحَمَّدًا الْوَسِيلَةَ وَالْفَضِيلَةَ وَابْعَثْهُ مَقَامًا مَحْمُودًا الَّذِي وَعَدْتَهُ","Den som säger denna efter böneutropet får profetens förbön på Domedagen."
Syndernas förlåtelse,Morgon/Kväll,Bukhari,"سُبْحَانَ اللَّهِ وَبِحَمْدِهِ","Den som säger detta 100 gånger om dagen får sina synder förlåtna även om de är som havets skum."
Nöjd med Islam,Morgon/Kväll,Abu Dawud,"رَضِيتُ بِاللَّهِ رَبًّا وَبِالإِسْلاَمِ دِينًا وَبِمُحَمَّدٍ نَبِيًّا","Den som säger detta 3 gånger på morgonen och kvällen har rätt att göras nöjd av Allah på Domedagen."
Shahada efter Wudu/Adhan,Rening,Muslim,"وَأَنَا أَشْهَدُ أَنْ لاَ إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ لاَ شَرِيكَ لَهُ وَأَشْهَدُ أَنَّ مُحَمَّدًا عَبْدُهُ وَرَسُولُهُ رَضِيتُ بِاللَّهِ رَبًّا وَبِمُحَمَّدٍ رَسُولاً وَبِالإِسْلاَمِ دِينًا","Öppnar paradisets åtta portar för den som säger det efter tvagning (wudu) eller adhan."
Fullbordad tacksamhet,Morgon/Kväll,Abu Dawud,"اللَّهُمَّ مَا أَصْبَحَ بِي مِنْ نِعْمَةٍ فَمِنْكَ وَحْدَكَ لاَ شَرِيكَ لَكَ فَلَكَ الْحَمْدُ وَلَكَ الشُّكْرُ","Den som säger detta på morgonen har uppfyllt sin tacksamhet för dagen (byt 'asbaha' mot 'amsaa' på kvällen)."
Lovprisning morgon & kväll,Morgon/Kväll,Koranen (30:17-18),"فَسُبْحَانَ اللَّهِ حِينَ تُمْسُونَ وَحِينَ تُصْبِحُونَ. وَلَهُ الْحَمْدُ فِي السَّمَاوَاتِ وَالْأَرْضِ وَعَشِيًّا وَحِينَ تُظْهِرُونَ","Verser som rekommenderas att reciteras morgon och kväll."
Skydd mot skapelsen,Skydd,Muslim,"أَعُوذُ بِكَلِمَاتِ اللَّهِ التَّامَّاتِ مِنْ شَرِّ مَا خَلَقَ","Sägs på kvällen eller när man stannar på en plats under resa; inget skadar den som säger detta."
Marknadsbönen,Vardag,Tirmidhi,"لاَ إِلَهَ إِلاَّ اللَّهُ وَحْدَهُ لاَ شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ يُحْيِي وَيُمِيتُ وَهُوَ حَىٌّ لاَ يَمُوتُ بِيَدِهِ الْخَيْرُ كُلُّهُ وَهُوَ عَلَى كُلِّ شَىْءٍ قَدِيرٌ","Sägs när man går in på en marknad eller köpcentrum för stor belöning."
De fyra älskade orden,Dhikr,Muslim,"سُبْحَانَ ٱللَّهِ، وَٱلْحَمْدُ لِلَّهِ، وَلَا إِلَهَ إِلَّا ٱللَّهُ، وَٱللَّهُ أَكْبَرُ","De ord som är mest älskade av Allah; kan sägas när som helst."
Paradisets skatt (Hawqala),Dhikr,Bukhari,"لَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِٱللَّهِ","En av paradisets skatter; sägs vid prövningar eller under dagen."
Vid uppvaknande,Vardag,Bukhari,"ٱلْحَمْدُ لِلَّهِ ٱلَّذِي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ ٱلنُّشُورُ","Sägs direkt när man vaknar upp ur sömnen."
Innan toalettbesök,Vardag,Bukhari,"ٱللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ ٱلْخُبُثِ وَٱلْخَبَائِثِ","Skydd mot manliga och kvinnliga jinn innan man går in på toaletten."
Lämna hemmet,Vardag,Abu Dawud,"بِسْمِ ٱللَّهِ، تَوَكَّلْتُ عَلَى ٱللَّهِ، لَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِٱللَّهِ","Den som säger detta när hen lämnar hemmet blir guidad; skyddad och djävulen viker undan."
Inträde i moskén,Moské,Muslim,"ٱللَّهُمَّ ٱفْتَحْ لِي أَبْوَابَ رَحْمَتِكَ","Sägs när man kliver in i moskén med höger fot."
Tacksamhet efter mat,Vardag,Tirmidhi,"ٱلْحَمْدُ لِلَّهِ ٱلَّذِي أَطْعَمَنِي هَذَا وَرَزَقَنِيهِ مِنْ غَيْرِ حَوْلٍ مِنِّي وَلَا قُوَّةٍ","Den som säger detta efter maten får sina förflutna (mindre) synder förlåtna."
Total beskydd,Skydd,Tirmidhi,"بِسْمِ ٱللَّهِ ٱلَّذِي لَا يَضُرُّ مَعَ ٱسْمِهِ شَيْءٌ فِي ٱلْأَرْضِ وَلَا فِي ٱلسَّمَاءِ وَهُوَ ٱلسَّمِيعُ ٱلْعَلِيمُ","Sägs 3 gånger morgon och kväll; inget kan skada den som säger detta."
Yunus bön (Vid nöd),Dua,Tirmidhi,"لَا إِلَهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ ٱلظَّالِمِينَ","Profeten Yunus (AS) bön i valens mage; Allah svarar den som ber med denna i nöd."
Mot oro och skuld,Skydd,Bukhari,"ٱللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ ٱلْهَمِّ وَٱلْحَزَنِ، وَٱلْعَجْزِ وَٱلْكَسَلِ، وَٱلْبُخْلِ وَٱلْجُبْنِ، وَضَلَعِ ٱلدَّيْنِ وَغَلَبَةِ ٱلرِّجَالِ","Kraftfull dua mot depression; lättja; feghet och skuldsättning."
Det goda i båda liv,Dua,Bukhari,"رَبَّنَا آتِنَا فِي ٱلدُّنْيَا حَسَنَةً وَفِي ٱلْآخِرَةِ حَسَنَةً وَقِنَا عَذَابَ ٱلنَّارِ","En av de vanligaste bönerna profeten (SAW) gjorde; täcker allt gott i detta liv och nästa."
Mellan två Sujud,Bön,Abu Dawud,"رَبِّ ٱغْفِرْ لِي، رَبِّ ٱغْفِرْ لِي","Sägs i sittande ställning mellan de två prostrationerna (sujud) i bönen."
Skydd innan Salam,Bön,Muslim,"ٱللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنْ عَذَابِ ٱلْقَبْرِ، وَمِنْ عَذَابِ جَهَنَّمَ، وَمِنْ فِتْنَةِ ٱلْمَحْيَا وَٱلْمَمَاتِ، وَمِنْ شَرِّ فِتْنَةِ ٱلْمَسِيحِ ٱلدَّجَّالِ","Sägs i slutet av bönen (tashahhud) precis innan man avslutar med salam."
Mötets slut (Kaffaratul Majlis),Vardag,Tirmidhi,"سُبْحَانَكَ ٱللَّهُمَّ وَبِحَمْدِكَ، أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا أَنْتَ، أَسْتَغْفِرُكَ وَأَتُوبُ إِلَيْكَ","Raderar synder som begåtts (genom tal) under en sammankomst om det sägs vid slutet."
Vägledning och Nöjdhet,Dua,Muslim,"ٱللَّهُمَّ إِنِّي أَسْأَلُكَ ٱلْهُدَى وَٱلتُّقَى وَٱلْعَفَافَ وَٱلْغِنَى","Bön om vägledning; gudsfruktan; avhållsamhet från synd och rikedom (i själen)."
Utgång från moskén,Moské,Muslim,"ٱللَّهُمَّ إِنِّي أَسْأَلُكَ مِنْ فَضْلِكَ","Sägs när man lämnar moskén med vänster fot."
Resebön,Resa,Muslim,"سُبْحَانَ ٱلَّذِي سَخَّرَ لَنَا هَذَا وَمَا كُنَّا لَهُ مُقْرِنِينَ، وَإِنَّا إِلَى رَبِّنَا لَمُنْقَلِبُونَ","Del av bönen man säger när man sätter sig i fordonet för att resa."
Vid fastans brytande,Fasta,Abu Dawud,"ذَهَبَ ٱلظَّمَأُ، وَٱبْتَلَّتِ ٱلْعُرُوقُ، وَثَبَتَ ٱلْأَجْرُ إِنْ شَاءَ ٱللَّهُ","Sägs efter att man druckit vatten vid Iftar."
För ett stadigt hjärta,Dua,Tirmidhi,"يَا مُقَلِّبَ ٱلْقُلُوبِ ثَبِّتْ قَلْبِي عَلَى دِينِكَ","Profeten (SAW) bad ofta denna bön för att hålla hjärtat fast vid tron."
Hjälp med skulder,Dua,Tirmidhi,"ٱللَّهُمَّ ٱكْفِنِي بِحَلَالِكَ عَنْ حَرَامِكَ، وَأَغْنِنِي بِفَضْلِكَ عَمَّنْ سِوَاكَ","Bön för att bli skuldfri genom Allahs hjälp."
